Home,1h,Th,Away,1w,Tw
UC Riverside,29,68,Montana St.,28,69
Florida,39,86,Pittsburgh,34,71
New Mexico,46,90,Rice,33,56
Bradley,37,63,UTEP,26,59
UC Irvine,39,77,Toledo,32,71
Gonzaga,38,69,UCLA,34,65
Tulane,29,84,California,35,81
UNI,40,70,Texas Tech,31,72
Penn St.,32,77,Texas A&M,39,89
Boston College,30,68,Loyola Chicago,35,71
North Carolina,34,81,Villanova,32,83
Fla. Atlantic,46,91,Butler,42,86
Oklahoma,36,79,Iowa,24,67
Michigan St.,30,68,Arizona,40,74
Iowa St.,24,68,VCU,33,64
Memphis,42,84,Arkansas,37,79
Seton Hall,22,63,Southern California,32,71
Boise St.,41,75,Virginia Tech,44,82
Michigan,45,83,Stanford,44,78
NC State,43,84,Vanderbilt,33,78
